version,id,name,tier,rarity,types,ability,pe,img
Galaxy V2,2-2-001,Zacian,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Steel, Fairy",Double Move,206,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-002_f.png
Galaxy V2,2-2-002,Zamazenta,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Steel, Fighting",Double Move,206,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-003_f.png
Galaxy V2,2-2-003,Duraludon,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Steel, Dragon",Gigantamax,158,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-004_f.png
Galaxy V2,2-2-004,Charizard,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Fire, Flying",Gigantamax,150,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-005_f.png
Galaxy V2,2-2-005,Zarude,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Dark, Grass",Dynamax,166,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-006_f.png
Galaxy V2,2-2-006,Lucario,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Fighting, Steel",Dynamax,146,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-007_f.png
Galaxy V2,2-2-007,Rayquaza,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Dragon, Flying",Mega Evolution,184,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-008_f.png
Galaxy V2,2-2-008,Latias,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Dragon, Psychic",,164,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-009_f.png
Galaxy V2,2-2-009,Latios,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Dragon, Psychic",,164,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-010_f.png
Galaxy V2,2-2-010,Naganadel,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)","Poison, Dragon",,150,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-011_f.png
Galaxy V2,2-2-011,Metagross,Star Pokémon,5★ Star (holofoil),"Steel, Psychic",Mega Evolution,144,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-012_f.png
Galaxy V2,2-2-012,Haxorus,Star Pokémon,5★ Star (holofoil),Dragon,Z-Move,132,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-013_f.png
Galaxy V2,2-2-013,Aerodactyl,Star Pokémon,5★ Star (holofoil),"Rock, Flying",Z-Move,128,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-014_f.png
Galaxy V2,2-2-014,Dracozolt,Star Pokémon,5★ Star (holofoil),"Electric, Dragon",Dynamax,138,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-015_f.png
