Serving HTTP on 0.0.0.0 port 8899 (http://0.0.0.0:8899/) ...
127.0.0.1 - - [22/Sep/2026 12:15:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:15:46] code 404, message File not found
127.0.0.1 - - [22/Sep/2026 12:15:46] "GET /** HTTP/1.1" 404 -
127.0.0.1 - - [22/Sep/2026 12:33:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /assets/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /icons/bolt-transparent.png HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /data/bosses.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /data/roster.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /data/pool.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /data/typechart.json HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-015_Lucario.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-005_Snorlax.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-025_Drednaw.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-010_Kyurem.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-007_Gardevoir.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-016_Torterra.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-003_Koraidon.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-021_Metagross.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-026_Meowscarada.webp HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 12:33:36] "GET /img/1-2-018_Empoleon.webp HTTP/1.1" 200 -
